policy_id,title,sector,region,year,impact_score,goals,text_for_nlp
P1026,State Primary Education Reform 61,Primary,Rajasthan,2015,0.771,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1026 state primary education reform 61 primary rajasthan introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1465,National Primary Education Reform 2,Secondary,Maharashtra,2020,0.744,"Train 2177 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1465 national primary education reform 2 secondary maharashtra train 2177 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1282,National Early Childhood Education Reform 8,Higher Education,Tamil Nadu,2016,0.296,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1282 national early childhood education reform 8 higher education tamil nadu introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1248,National Early Childhood Education Reform 30,Higher Education,Uttar Pradesh,2015,0.756,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1248 national early childhood education reform 30 higher education uttar pradesh introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1238,State Vocational Education Reform 53,Higher Education,Gujarat,2025,0.217,Increase learning outcomes score by 19% within 2 years and reduce disparities between rural and urban areas.,p1238 state vocational education reform 53 higher education gujarat increase learning outcomes score by 19% within 2 years and reduce disparities between rural and urban areas.
P1118,National Vocational Education Reform 51,Primary,Punjab,2018,0.283,Increase vocational skills score by 28% within 3 years and reduce disparities between rural and urban areas.,p1118 national vocational education reform 51 primary punjab increase vocational skills score by 28% within 3 years and reduce disparities between rural and urban areas.
P1043,National Primary Education Reform 56,Primary,Maharashtra,2022,0.361,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1043 national primary education reform 56 primary maharashtra introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1221,State Primary Education Reform 8,Higher Education,Tamil Nadu,2023,0.974,"Train 224 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1221 state primary education reform 8 higher education tamil nadu train 224 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1177,National Vocational Education Reform 85,Early Childhood,Punjab,2020,0.344,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1177 national vocational education reform 85 early childhood punjab introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1321,District Early Childhood Education Reform 56,Vocational,Gujarat,2016,0.356,"Train 1742 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1321 district early childhood education reform 56 vocational gujarat train 1742 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1154,State Primary Education Reform 12,Vocational,Rajasthan,2021,0.8,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1154 state primary education reform 12 vocational rajasthan introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1232,National Vocational Education Reform 55,Higher Education,Kerala,2018,0.979,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1232 national vocational education reform 55 higher education kerala introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1228,National Higher Education Education Reform 3,Higher Education,Rajasthan,2023,0.239,Increase teacher quality score by 24% within 1 years and reduce disparities between rural and urban areas.,p1228 national higher education education reform 3 higher education rajasthan increase teacher quality score by 24% within 1 years and reduce disparities between rural and urban areas.
P1418,State Vocational Education Reform 24,Early Childhood,Delhi,2016,0.105,"Train 2383 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1418 state vocational education reform 24 early childhood delhi train 2383 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1204,State Early Childhood Education Reform 62,Secondary,Kerala,2022,0.16,"Train 2636 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1204 state early childhood education reform 62 secondary kerala train 2636 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1127,State Higher Education Education Reform 93,Secondary,West Bengal,2025,0.218,Increase infrastructure score by 26% within 1 years and reduce disparities between rural and urban areas.,p1127 state higher education education reform 93 secondary west bengal increase infrastructure score by 26% within 1 years and reduce disparities between rural and urban areas.
P1330,State Early Childhood Education Reform 81,Early Childhood,Maharashtra,2019,0.367,Increase infrastructure score by 23% within 5 years and reduce disparities between rural and urban areas.,p1330 state early childhood education reform 81 early childhood maharashtra increase infrastructure score by 23% within 5 years and reduce disparities between rural and urban areas.
P1032,State Secondary Education Reform 39,Primary,Rajasthan,2017,0.668,"Train 3895 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1032 state secondary education reform 39 primary rajasthan train 3895 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1114,District Primary Education Reform 53,Vocational,Tamil Nadu,2025,0.802,Increase learning outcomes score by 39% within 5 years and reduce disparities between rural and urban areas.,p1114 district primary education reform 53 vocational tamil nadu increase learning outcomes score by 39% within 5 years and reduce disparities between rural and urban areas.
P1471,National Primary Education Reform 7,Primary,Punjab,2019,0.723,"Train 1851 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1471 national primary education reform 7 primary punjab train 1851 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1272,District Vocational Education Reform 35,Secondary,Kerala,2021,0.851,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1272 district vocational education reform 35 secondary kerala introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1141,District Higher Education Education Reform 10,Primary,Maharashtra,2018,0.209,"Train 3285 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1141 district higher education education reform 10 primary maharashtra train 3285 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1058,National Higher Education Education Reform 87,Early Childhood,Gujarat,2023,0.149,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1058 national higher education education reform 87 early childhood gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1193,District Secondary Education Reform 49,Vocational,Kerala,2024,0.56,Increase teacher quality score by 37% within 2 years and reduce disparities between rural and urban areas.,p1193 district secondary education reform 49 vocational kerala increase teacher quality score by 37% within 2 years and reduce disparities between rural and urban areas.
P1025,District Secondary Education Reform 60,Secondary,Punjab,2023,0.221,"Train 3155 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1025 district secondary education reform 60 secondary punjab train 3155 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1018,District Early Childhood Education Reform 43,Primary,Maharashtra,2019,0.408,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1018 district early childhood education reform 43 primary maharashtra introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1266,State Secondary Education Reform 63,Secondary,Rajasthan,2015,0.845,Increase digital access score by 27% within 1 years and reduce disparities between rural and urban areas.,p1266 state secondary education reform 63 secondary rajasthan increase digital access score by 27% within 1 years and reduce disparities between rural and urban areas.
P1067,State Vocational Education Reform 99,Higher Education,West Bengal,2023,0.223,Increase teacher quality score by 38% within 1 years and reduce disparities between rural and urban areas.,p1067 state vocational education reform 99 higher education west bengal increase teacher quality score by 38% within 1 years and reduce disparities between rural and urban areas.
P1209,District Higher Education Education Reform 31,Early Childhood,West Bengal,2021,0.257,Increase digital access score by 21% within 5 years and reduce disparities between rural and urban areas.,p1209 district higher education education reform 31 early childhood west bengal increase digital access score by 21% within 5 years and reduce disparities between rural and urban areas.
P1480,State Higher Education Education Reform 55,Vocational,West Bengal,2021,0.179,"Train 4804 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1480 state higher education education reform 55 vocational west bengal train 4804 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1095,State Early Childhood Education Reform 57,Primary,Uttar Pradesh,2024,0.217,Increase digital access score by 24% within 1 years and reduce disparities between rural and urban areas.,p1095 state early childhood education reform 57 primary uttar pradesh increase digital access score by 24% within 1 years and reduce disparities between rural and urban areas.
P1254,National Higher Education Education Reform 15,Primary,Punjab,2023,0.383,"Train 1453 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1254 national higher education education reform 15 primary punjab train 1453 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1267,State Vocational Education Reform 39,Vocational,Rajasthan,2018,0.875,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1267 state vocational education reform 39 vocational rajasthan introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1024,District Primary Education Reform 98,Early Childhood,West Bengal,2022,0.579,"Train 4049 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1024 district primary education reform 98 early childhood west bengal train 4049 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1223,District Early Childhood Education Reform 49,Secondary,Karnataka,2024,0.686,"Train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1223 district early childhood education reform 49 secondary karnataka train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1262,National Primary Education Reform 18,Vocational,Gujarat,2024,0.83,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1262 national primary education reform 18 vocational gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1427,District Primary Education Reform 22,Secondary,Karnataka,2023,0.925,Increase teacher quality score by 5% within 3 years and reduce disparities between rural and urban areas.,p1427 district primary education reform 22 secondary karnataka increase teacher quality score by 5% within 3 years and reduce disparities between rural and urban areas.
P1006,District Primary Education Reform 88,Primary,Rajasthan,2019,0.504,"Train 4208 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1006 district primary education reform 88 primary rajasthan train 4208 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1117,District Vocational Education Reform 41,Primary,Delhi,2015,0.703,Increase infrastructure score by 26% within 5 years and reduce disparities between rural and urban areas.,p1117 district vocational education reform 41 primary delhi increase infrastructure score by 26% within 5 years and reduce disparities between rural and urban areas.
P1046,District Higher Education Education Reform 87,Secondary,Maharashtra,2025,0.616,"Train 2726 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1046 district higher education education reform 87 secondary maharashtra train 2726 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1017,District Secondary Education Reform 35,Secondary,Maharashtra,2021,0.411,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1017 district secondary education reform 35 secondary maharashtra introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1463,National Secondary Education Reform 7,Vocational,Gujarat,2015,0.635,"Train 2385 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1463 national secondary education reform 7 vocational gujarat train 2385 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1358,District Secondary Education Reform 85,Early Childhood,Punjab,2024,0.331,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1358 district secondary education reform 85 early childhood punjab introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1004,State Vocational Education Reform 35,Early Childhood,Uttar Pradesh,2025,0.457,Increase learning outcomes score by 30% within 4 years and reduce disparities between rural and urban areas.,p1004 state vocational education reform 35 early childhood uttar pradesh increase learning outcomes score by 30% within 4 years and reduce disparities between rural and urban areas.
P1219,State Secondary Education Reform 95,Primary,Uttar Pradesh,2022,0.933,"Train 4552 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1219 state secondary education reform 95 primary uttar pradesh train 4552 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1406,State Primary Education Reform 16,Primary,Maharashtra,2016,0.527,"Train 3195 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1406 state primary education reform 16 primary maharashtra train 3195 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1061,State Secondary Education Reform 31,Primary,Tamil Nadu,2019,0.258,"Train 4674 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1061 state secondary education reform 31 primary tamil nadu train 4674 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1111,District Higher Education Education Reform 50,Primary,Delhi,2021,0.71,"Train 2248 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","p1111 district higher education education reform 50 primary delhi train 2248 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1319,National Higher Education Education Reform 41,Early Childhood,Maharashtra,2016,0.805,"Train 2185 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1319 national higher education education reform 41 early childhood maharashtra train 2185 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1429,District Vocational Education Reform 20,Vocational,Uttar Pradesh,2021,0.509,"Train 1527 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1429 district vocational education reform 20 vocational uttar pradesh train 1527 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1030,National Secondary Education Reform 93,Vocational,Gujarat,2023,0.499,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1030 national secondary education reform 93 vocational gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1438,District Early Childhood Education Reform 90,Higher Education,Gujarat,2021,0.355,"Train 4999 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1438 district early childhood education reform 90 higher education gujarat train 4999 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1472,State Primary Education Reform 13,Secondary,Rajasthan,2024,0.248,Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas.,p1472 state primary education reform 13 secondary rajasthan increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas.
P1027,National Early Childhood Education Reform 78,Primary,Tamil Nadu,2019,0.453,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1027 national early childhood education reform 78 primary tamil nadu introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1008,National Early Childhood Education Reform 97,Secondary,Delhi,2021,0.208,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1008 national early childhood education reform 97 secondary delhi introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1454,District Early Childhood Education Reform 41,Higher Education,Tamil Nadu,2024,0.837,Increase early childhood development score by 25% within 5 years and reduce disparities between rural and urban areas.,p1454 district early childhood education reform 41 higher education tamil nadu increase early childhood development score by 25% within 5 years and reduce disparities between rural and urban areas.
P1109,District Early Childhood Education Reform 51,Higher Education,Karnataka,2025,0.938,Increase digital access score by 20% within 1 years and reduce disparities between rural and urban areas.,p1109 district early childhood education reform 51 higher education karnataka increase digital access score by 20% within 1 years and reduce disparities between rural and urban areas.
P1038,District Primary Education Reform 85,Early Childhood,Gujarat,2021,0.657,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1038 district primary education reform 85 early childhood gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1158,National Higher Education Education Reform 63,Early Childhood,Gujarat,2017,0.767,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1158 national higher education education reform 63 early childhood gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1490,State Higher Education Education Reform 80,Early Childhood,Tamil Nadu,2016,0.17,Increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.,p1490 state higher education education reform 80 early childhood tamil nadu increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.
P1119,District Higher Education Education Reform 77,Vocational,Punjab,2021,0.649,Increase vocational skills score by 12% within 2 years and reduce disparities between rural and urban areas.,p1119 district higher education education reform 77 vocational punjab increase vocational skills score by 12% within 2 years and reduce disparities between rural and urban areas.
P1115,District Primary Education Reform 14,Secondary,Kerala,2017,0.959,"Train 2169 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1115 district primary education reform 14 secondary kerala train 2169 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1176,District Higher Education Education Reform 14,Vocational,Karnataka,2025,0.951,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1176 district higher education education reform 14 vocational karnataka introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1374,State Secondary Education Reform 55,Vocational,Uttar Pradesh,2022,0.372,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1374 state secondary education reform 55 vocational uttar pradesh introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1182,National Higher Education Education Reform 68,Secondary,Tamil Nadu,2023,0.182,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1182 national higher education education reform 68 secondary tamil nadu introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1145,National Secondary Education Reform 78,Secondary,Karnataka,2023,0.818,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1145 national secondary education reform 78 secondary karnataka introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1370,State Higher Education Education Reform 75,Vocational,Punjab,2025,0.868,Increase digital access score by 28% within 3 years and reduce disparities between rural and urban areas.,p1370 state higher education education reform 75 vocational punjab increase digital access score by 28% within 3 years and reduce disparities between rural and urban areas.
P1391,National Vocational Education Reform 5,Primary,West Bengal,2024,0.554,Increase digital access score by 32% within 2 years and reduce disparities between rural and urban areas.,p1391 national vocational education reform 5 primary west bengal increase digital access score by 32% within 2 years and reduce disparities between rural and urban areas.
P1196,District Secondary Education Reform 75,Secondary,Punjab,2025,0.921,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1196 district secondary education reform 75 secondary punjab introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1405,State Vocational Education Reform 23,Primary,Maharashtra,2023,0.318,"Train 2529 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1405 state vocational education reform 23 primary maharashtra train 2529 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1276,National Primary Education Reform 15,Vocational,Punjab,2024,0.389,Increase vocational skills score by 7% within 5 years and reduce disparities between rural and urban areas.,p1276 national primary education reform 15 vocational punjab increase vocational skills score by 7% within 5 years and reduce disparities between rural and urban areas.
P1455,District Primary Education Reform 81,Early Childhood,West Bengal,2025,0.123,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1455 district primary education reform 81 early childhood west bengal introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1142,State Higher Education Education Reform 58,Secondary,Karnataka,2024,0.526,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1142 state higher education education reform 58 secondary karnataka introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1366,State Early Childhood Education Reform 28,Secondary,Gujarat,2020,0.423,Increase learning outcomes score by 33% within 2 years and reduce disparities between rural and urban areas.,p1366 state early childhood education reform 28 secondary gujarat increase learning outcomes score by 33% within 2 years and reduce disparities between rural and urban areas.
P1068,District Secondary Education Reform 56,Primary,Uttar Pradesh,2022,0.433,Increase digital access score by 11% within 3 years and reduce disparities between rural and urban areas.,p1068 district secondary education reform 56 primary uttar pradesh increase digital access score by 11% within 3 years and reduce disparities between rural and urban areas.
P1211,National Vocational Education Reform 79,Higher Education,Gujarat,2025,0.609,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1211 national vocational education reform 79 higher education gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1169,State Secondary Education Reform 1,Primary,Maharashtra,2016,0.167,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.,p1169 state secondary education reform 1 primary maharashtra increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.
P1494,District Secondary Education Reform 15,Vocational,Maharashtra,2024,0.312,Increase learning outcomes score by 5% within 2 years and reduce disparities between rural and urban areas.,p1494 district secondary education reform 15 vocational maharashtra increase learning outcomes score by 5% within 2 years and reduce disparities between rural and urban areas.
P1376,National Early Childhood Education Reform 63,Primary,Tamil Nadu,2018,0.687,Increase learning outcomes score by 15% within 3 years and reduce disparities between rural and urban areas.,p1376 national early childhood education reform 63 primary tamil nadu increase learning outcomes score by 15% within 3 years and reduce disparities between rural and urban areas.
P1401,National Early Childhood Education Reform 69,Secondary,West Bengal,2021,0.626,"Train 2638 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","p1401 national early childhood education reform 69 secondary west bengal train 2638 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1273,National Primary Education Reform 47,Early Childhood,Kerala,2016,0.593,"Train 3245 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1273 national primary education reform 47 early childhood kerala train 3245 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1110,District Vocational Education Reform 41,Higher Education,Maharashtra,2016,0.191,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1110 district vocational education reform 41 higher education maharashtra introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1249,State Primary Education Reform 40,Higher Education,Rajasthan,2023,0.452,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1249 state primary education reform 40 higher education rajasthan introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1146,State Vocational Education Reform 76,Primary,Kerala,2019,0.805,"Train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","p1146 state vocational education reform 76 primary kerala train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1093,State Higher Education Education Reform 89,Secondary,Karnataka,2025,0.922,Increase vocational skills score by 19% within 2 years and reduce disparities between rural and urban areas.,p1093 state higher education education reform 89 secondary karnataka increase vocational skills score by 19% within 2 years and reduce disparities between rural and urban areas.
P1153,National Vocational Education Reform 39,Primary,West Bengal,2015,0.254,Increase infrastructure score by 10% within 4 years and reduce disparities between rural and urban areas.,p1153 national vocational education reform 39 primary west bengal increase infrastructure score by 10% within 4 years and reduce disparities between rural and urban areas.
P1368,District Secondary Education Reform 68,Early Childhood,West Bengal,2016,0.574,"Train 2053 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","p1368 district secondary education reform 68 early childhood west bengal train 2053 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1468,District Higher Education Education Reform 98,Higher Education,Gujarat,2025,0.443,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1468 district higher education education reform 98 higher education gujarat introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1084,National Primary Education Reform 51,Higher Education,Kerala,2023,0.545,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1084 national primary education reform 51 higher education kerala introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1246,District Early Childhood Education Reform 74,Early Childhood,Tamil Nadu,2022,0.387,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1246 district early childhood education reform 74 early childhood tamil nadu introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1166,District Higher Education Education Reform 56,Secondary,Kerala,2022,0.117,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1166 district higher education education reform 56 secondary kerala introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1164,District Primary Education Reform 1,Vocational,Delhi,2018,0.215,Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.,p1164 district primary education reform 1 vocational delhi increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.
P1200,District Vocational Education Reform 95,Secondary,Maharashtra,2018,0.8,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","p1200 district vocational education reform 95 secondary maharashtra introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
